Year,Month,Day,Validity,Cause,Eq Magnitude,Country,Location,Latitude,Longitude,Max Water Height (m),Tsm Magnitude (Iida),Tsunami,ECountry,ELocation
1751.0,5.0,20.0,4.0,3.0,6.6,JAPAN,NW. HONSHU ISLAND,37.2,138.1,0.92,1.0,1,41,307
1751.0,5.0,25.0,4.0,1.0,8.5,CHILE,CENTRAL CHILE,-37.0,-73.0,3.5,1.8,1,10,64
1751.0,10.0,18.0,3.0,1.0,7.3,DOMINICAN REPUBLIC,AZUA  DE COMPOSTELA,18.5,-70.7,0.92,0.6,0,17,28
1754.0,8.0,18.0,3.0,1.0,6.5,INDONESIA,BANDA SEA,-3.5,128.5,0.92,0.6,0,36,32
1754.0,9.0,1.0,3.0,1.0,7.2,MEXICO,S. MEXICO,16.8,-99.2,4.0,2.0,0,46,379
1755.0,11.0,1.0,4.0,1.0,8.5,PORTUGAL,LISBON,37.0,-10.0,18.3,3.6,1,61,224
1756.0,2.0,1.0,4.0,8.0,7.2,NORWAY,WESTERN NORWAY,62.767,7.9,38.0,0.6,1,55,489
1757.0,7.0,9.0,3.0,1.0,7.2,PORTUGAL,AZORES,38.65,-28.08,0.92,0.6,0,61,26
1761.0,3.0,31.0,3.0,1.0,8.5,PORTUGAL,SW PORTUGAL,34.5,-13.0,2.4,1.3,0,61,443
1762.0,4.0,2.0,4.0,1.0,7.2,BANGLADESH,NORTHERN BAY OF BENGAL,22.0,92.0,1.83,0.8,1,6,298
1762.0,10.0,31.0,4.0,1.0,6.6,JAPAN,NW. HONSHU ISLAND,38.1,138.7,0.92,1.0,1,41,307
1763.0,1.0,29.0,3.0,1.0,7.4,JAPAN,SANRIKU,40.8,142.0,5.0,2.0,0,41,396
1763.0,3.0,11.0,4.0,1.0,7.8,JAPAN,N. SANRIKU,41.0,142.5,0.92,1.0,1,41,276
1763.0,3.0,15.0,4.0,1.0,7.1,JAPAN,"SANRIKU, HACHIONHE",40.7,142.0,0.92,1.0,1,41,397
1763.0,9.0,12.0,3.0,1.0,7.2,INDONESIA,BANDA SEA,-6.0,130.0,9.0,0.6,0,36,32
1766.0,3.0,8.0,4.0,1.0,6.9,JAPAN,SANRIKU,40.9,140.7,0.92,-0.1,1,41,396
1767.0,4.0,24.0,3.0,1.0,7.2,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE & BARBADOS,14.4,-61.0,0.92,0.6,0,45,247
1768.0,6.0,22.0,3.0,1.0,7.5,PAPUA NEW GUINEA,"CAPE SAINT GEORGE, NEW IRELAND",-4.85,152.8,0.92,0.6,0,58,57
1768.0,7.0,22.0,4.0,1.0,6.5,JAPAN,RYUKYU ISLANDS,26.2,127.5,1.2,0.3,1,41,373
1769.0,8.0,29.0,4.0,1.0,7.4,JAPAN,SW. KYUSHU ISLAND,32.3,132.0,0.92,1.0,1,41,445
1769.0,1.0,1.0,3.0,1.0,6.5,GREECE,CORINTH GULF,38.4,12.2,0.92,0.6,0,27,80
1770.0,6.0,3.0,4.0,3.0,7.5,HAITI,PORT-AU-PRINCE,18.5,-72.3,0.92,0.6,1,32,351
1770.0,1.0,1.0,3.0,1.0,7.0,INDONESIA,SW. SUMATRA,-5.0,102.0,0.92,0.6,0,36,446
1771.0,4.0,24.0,4.0,1.0,7.4,JAPAN,RYUKYU ISLANDS,24.0,124.3,85.4,6.4,1,41,373
1772.0,11.0,24.0,3.0,1.0,7.2,GREECE,AEGEAN SEA,38.8,26.7,0.92,0.6,0,27,2
1775.0,2.0,11.0,4.0,1.0,7.2,CUBA,SANTIAGO DE CUBA,19.9,-76.0,0.92,0.6,1,15,400
1775.0,4.0,18.0,3.0,1.0,7.2,INDONESIA,AMBON ISLAND,-3.7,128.2,0.92,0.6,0,36,11
1778.0,6.0,16.0,3.0,1.0,7.2,GREECE,AEGEAN SEA,,,0.92,0.6,0,27,2
1780.0,6.0,29.0,4.0,1.0,7.5,RUSSIA,S. KURIL ISLANDS,45.3,151.2,12.0,3.6,1,62,378
1780.0,9.0,9.0,4.0,6.0,7.2,JAPAN,SW. KYUSHU ISLAND,31.6,130.7,2.0,0.0,1,41,445
1780.0,9.0,21.0,3.0,1.0,7.2,MONTENEGRO,BAY OF KOTOR,42.4,18.8,1.7,0.6,0,47,36
1780.0,10.0,31.0,4.0,6.0,7.2,JAPAN,SW. KYUSHU ISLAND,31.6,130.7,0.92,0.0,1,41,445
1781.0,4.0,11.0,4.0,6.0,7.2,JAPAN,SW. KYUSHU ISLAND,31.58,130.67,0.92,1.0,1,41,445
1781.0,4.0,1.0,3.0,0.0,7.2,TAIWAN,KAOHSIUNG,24.0,121.0,30.0,0.6,0,71,187
1782.0,8.0,22.0,4.0,3.0,7.3,JAPAN,"ODAWARA, SAGAMI BAY",35.1,139.7,0.92,1.0,1,41,312
1783.0,2.0,5.0,4.0,1.0,6.9,ITALY,TYRRHENIAN CALABRIA,38.3,15.967,0.92,0.6,1,39,472
1783.0,2.0,6.0,4.0,3.0,5.9,ITALY,MESSINA STRAITS,38.217,15.633,16.0,0.6,1,39,252
1783.0,3.0,1.0,3.0,1.0,5.9,ITALY,TYRRHENIAN CALABRIA,38.767,16.3,0.92,0.6,0,39,472
1783.0,3.0,24.0,3.0,8.0,7.2,ITALY,MESSINA STRAITS,38.25,15.717,0.92,0.6,0,39,252
1783.0,3.0,28.0,3.0,1.0,6.9,ITALY,TYRRHENIAN CALABRIA,38.783,16.467,0.92,0.6,0,39,472
1784.0,1.0,7.0,4.0,1.0,4.1,ITALY,IONIAN CALABRIA,38.317,16.4,0.92,0.6,1,39,169
1787.0,3.0,28.0,4.0,1.0,8.3,MEXICO,SAN MARCOS,16.5,-98.5,4.0,2.0,1,46,392
1788.0,7.0,21.0,4.0,1.0,8.0,USA,"ALASKA PENINSULA, AK",57.0,-153.0,30.0,3.0,1,78,3
1788.0,8.0,6.0,4.0,1.0,8.0,USA,"SHUMAGIN ISLANDS, AK",55.0,-161.0,88.0,3.3,1,78,413
1790.0,10.0,9.0,3.0,1.0,7.2,ALGERIA,ORAN,35.7,-0.6,0.92,0.6,0,1,337
1791.0,9.0,13.0,3.0,1.0,6.5,JAPAN,OASAKA BAY,34.5,135.4,0.92,1.0,0,41,310
1792.0,5.0,21.0,4.0,5.0,6.4,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,55.0,3.5,1,41,412
1792.0,6.0,13.0,4.0,1.0,6.9,JAPAN,W. HOKKAIDO ISLAND,43.5,140.6,0.92,1.0,1,41,481
1793.0,2.0,8.0,4.0,1.0,6.9,JAPAN,W. OFF AOMORI,40.85,139.95,1.8,1.0,1,41,484
1793.0,2.0,17.0,4.0,1.0,8.3,JAPAN,SANRIKU,38.5,144.0,4.5,2.2,1,41,396
1794.0,6.0,11.0,3.0,3.0,5.5,GREECE,CORINTH GULF,38.3,22.3,0.92,0.6,0,27,80
1795.0,1.0,1.0,3.0,1.0,7.2,TRINIDAD AND TOBAGO,PORT-OF-SPAIN,10.7,-61.7,0.92,0.6,0,74,352
1797.0,2.0,10.0,4.0,1.0,8.0,INDONESIA,SW. SUMATRA,0.001,99.0,0.92,0.6,1,36,446
1798.0,2.0,22.0,3.0,1.0,7.2,COSTA RICA,MATINA,10.2,-82.9,0.92,0.6,0,13,249
1799.0,6.0,29.0,4.0,1.0,6.4,JAPAN,SW. HONSHU ISLAND,36.6,136.6,0.92,1.0,1,41,444
1802.0,8.0,15.0,3.0,1.0,7.2,VENEZUELA,CUMANA,10.3,-64.5,0.92,0.6,0,81,88
1802.0,11.0,7.0,3.0,1.0,7.2,ALGERIA,HARBOUR OF ALGIERS,36.5,2.9,0.92,0.6,0,1,155
